transfer_type,from,to,value,symbol,tx_hash,len
IN,0xfa52f15c4e0b282b47d51b8eef6d15d830e7b5e9,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,38.0,USDT,0x3d5af792982b9d91a91e251ce1a532907b88a6e870b72886c5e6c6e142fabb6e,20
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xddaaff8981d2bd3f788ec7d3cf553796f0c9f561,10.0,USDT,0x507a3945479e0578b408843aa0ee4fcdc08f308494100cba129517c12dc91e0f,20
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x18a37dded3dfcf07db1213f59dc03012e579f8b9,720.0,USDT,0xd4514490f58e83fb791f93a332251abc62570d95358e49c46f4e9fd19dd2d160,21
IN,0xf3441e3c8a2662f59ddea71fe618b8a388230236,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,100.0,USDT,0x38aba539ba20d9c8b7bbd2707cb9cef4039083e412e192820c466313a5d81cb9,21
IN,0x64a9ee75350f00017e0cf9a21af9631cdd2d67cb,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,46.0,USDT,0x8a78941403a24b123262e420205db1bbdbfc5d55cd57e8addc5f255f4ffbd79f,20
IN,0x25d4269b67b414ce52cc752aa0875ed884d24f1a,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,65.0,USDT,0x79a8bb8f12a80d99bcc2f615728c19369a89ad312a95413089bc2fe54720666d,20
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe5f32ed764b48aad512694d84abfc31b46196f7d,100.0,USDT,0x0c7256e641bffd2ed60a7890e9037623e4e79f302cfa4593a79a32e6e645cf64,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x890603b5147e3649171a8abae7d2bb246a7d4a85,200.0,USDT,0x657aecf8dfc018814cc656827f1642cde413abfacf670e98eb1c8b3010f05f41,21
IN,0xe3164706acc4623b8289f7f7c0445ce0e08af3bc,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,1928.0,USDT,0xf34e7c473184f269a446a44e9a84a33c79f5a8de6bf353e7e82472b620abbb74,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe425d667da55a0cf6caa7bedf253d2ce671d4b58,1457.7,USDT,0x9233568dd9ad8c98b48bff9b948b23ee57028c29927a456f3e1b5ac02b197cf6,22
IN,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,1499.71,USDT,0xd7935d833ff040950cd49af4a0d855ef66151aafb8fa9b7a0ad78c40ab2ff56f,22
IN,0x9febd4a24670c3d53f8e89a8d0bd5159dd72d941,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,1001.0,USDT,0x7d4a0fe3e132eadcb053ded8d09e0abea42aa673dcdac39dc3d4de1663422d96,22
IN,0xe3164706acc4623b8289f7f7c0445ce0e08af3bc,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,602.91453098,USDT,0x1aa86d8ad949eb8c443026bcd80962ba1602cc697376580f8f807d81ce383f9e,21
IN,0x1ef84c00fab564f10a2471060cbb474274918738,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,111.0,USDT,0x6ee8e858768ad6a594532185ab8b14e9dfcd26b5d6fa0c3be7d75e9d045fb8f9,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x6ee79068e5c27112ae8cbd48cb94d3a1fab4ec8c,600.0,USDT,0x9825fce8ee13b23f0ed3c9614722649ebfba2bfcb5e39b41d1377a6cb78677be,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xa48cc6789462d93231579bf2460448f8bc5d24b1,72.0,USDT,0x72653ca455449f08fd4e02cb267f6cd531048c4f6ac9e282e6455727cc8875e9,20
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe73f1365b3b67e4b3615c61a0dce13ff051ad1a8,200.0,USDT,0x5467ebe6accc873ef6679d3d19773351dafeaf4fbc6f0934f2987981c2bc101c,21
IN,0xa180fe01b906a1be37be6c534a3300785b20d947,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,1152.350577,USDT,0xee5034f598386bb3715ffdd545465557c3991e102fdb06d890f0487a682f646e,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xe1337dba2994498f73c41a0a268e5a1592029fae,144.0,USDT,0x41c9cb0bd04767c131b20c7d0205aa0740f3f130596c4be7aeeb7e4230df8198,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xaf378a43b7d22090f081d51ae452c30d27018b81,500.0,USDT,0xb56af7abcaff721ae2ceca97581f4bc21b5fa787eb1633d842908daa79cfa0d2,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x2b47bd91e6ee3ffe1565ab6aca358d77861ad2d7,1877.0,USDT,0x4de5594f7a64ca7e2f6e0c124112cbc0a9cae203eb520697cc0f6cd4c99f4255,22
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x30e6bff58c119f310bf02c5160d0e200cc6c1810,50.0,USDT,0x8e9d3b44ecbd225971324a1cc8e2411bde2792b56e0e0748dbea5f5af9e352ca,20
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x08723a4bbd13937050a9731b983e5cdec2414145,144.0,USDT,0x175e110434196ffeccd83602f900fbf091405ac3265d4c09cdcb37177ab0217f,21
IN,0xa1cabe85b2d710cec35ae074c3bf07d06f669868,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,310.0,USDT,0x51e26fc8942c080f3f52cdbf2a6b359ee8721b4d4f4d8b6551258169b88a50ff,21
IN,0x65c46a0df6d9b8a1d2514cf32b2ec4e94b4c05d8,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,300.0,USDT,0x13ca15737b8266bbd2957a3bfc9a3e8fac46f0ed90128971d4b16bc30552dcf5,21
OUT,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xbc1a626ee9b19c2f70db76fed4d8f459c8bdbbe1,144.0,USDT,0xd0556fc5089f169983c221461661a8a17a517fd66fa19bc5cdcf097c6d6d500a,21
