from,to,value,count
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,763659.65803547,1469
0xa180fe01b906a1be37be6c534a3300785b20d947,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,480028.25629186,158
0xbbb5a3829c29c8b49b82a8941447df645fadc8ac,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,421225.17,306
0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,393304.60193293,132
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xbbb5a3829c29c8b49b82a8941447df645fadc8ac,389777.6,308
0xe2fc31f816a9b94326492132018c3aecc4a93ae1,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,334459.40338517,114
0x8894e0a0c962cb723c1976a4421c95949be2d4e3,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,311200.68002181,109
0x4982085c9e2f89f2ecb8131eca71afad896e89cb,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,298491.04184407,111
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x1ae1d599c556c087eb6348c12d9cd114868f6e34,252725.0,84
0x8dc3eb393f110ebab45d47a9a32c4c0c0b105bb2,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,231776.8705656,9
0xfea47143d1862a8c6419d5043a33cd1e3cbe9265,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,212999.73801345,62
0xe7b5fff879430e6e831001fda7cd06ccd17ab7fa,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,111198.79040338,97
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x55285b8b32cdfb52fde66fc81f8bcd83b723148f,110428.46,39
0xf0d5d2b91641dd3541085690ba03ad7d955d4cf9,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,110033.8,32
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xc4e202960fe384eef9188be81cb1730d151083a5,99995.5,18
0xe3164706acc4623b8289f7f7c0445ce0e08af3bc,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,97581.32432657,17
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0x923008dd433fc653fc5d856c74ea1a877fc5aee3,93017.0,46
0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,0xc13258e384ec9312c8f42ea655a5dbe3cec4c185,92308.3,43
0x5efd59a3c5af0a7efd5767e13e6592ac172f0306,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,81073.0,56
0xd4c334075a3f648d4c3cbed63c38276c70c92e12,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,66522.5,75
0x74ebd3222348c406513e21599d12337e5402b8bb,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,61726.5,54
0x55285b8b32cdfb52fde66fc81f8bcd83b723148f,0x5799cc9bc780e529d8b4e64b9e8c5505923a8005,61569.7,20
