transfer_type,from,to,value,symbol,tx_hash,len
OUT,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,0xc8955b8c247e759954f1789c27bbd08786cb3ae5,56.0,USDT,0x3804885a3d012206c2f4316f52b8d0c1278b0028c892c8a92a55d417abe2bd00,20
IN,0xbbdeabfa33c0c4baba4a2908200da66de7e8af18,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,56.0,USDT,0x8095ce2c662da674889381fd6c8a5defaa88fee5f2378316f0f73db2749ff5bd,20
OUT,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,0x9c69471fbfc42c15e37e952a2a3271723dfe9fb3,10000.0,USDT,0x37b25f12ffc0d3b78e1e906c9ffde2e287e17526c10c6f097917c5918d053329,23
IN,0x9c69471fbfc42c15e37e952a2a3271723dfe9fb3,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,10000.0,USDT,0x6e559693e26be9f5b822e1fed71c7155d9bb5b6fc83814f5dbc7429aa7aa1d6d,23
OUT,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,407.01223631,USDT,0x2946e9a8b437639d3d4f2543b70e34070cc740498b6ca873c1a5babd939d4ec7,21
OUT,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,0xab0667de161274f495b883f281b4ca5dcb32ec96,3000.0,USDT,0x997500e7386be8352b28126771b79ec58bda2642e35cfb2947a8fc74906ed1fd,22
IN,0xb9c4832aac8cf373ec7161b561c0e0b765fe2844,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,991.65999999,USDT,0x40e0be33d0ffeaaa85f677ee712c7b2700fcb42c50412417fd97773af6be8ec9,21
IN,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,444.02561186,USDT,0x7fb4bb66724ffbdd8c86199c1c360ff7e4cc6871b6d5f0e12fd1ba451d670707,21
IN,0x7efaef62fddcca950418312c6c91aef321375a00,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,1971.32662445,USDT,0xfcc7665255342bc23b6025bf251a351aefcb574aaad46e8a02400094c115b588,22
OUT,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,0xab0667de161274f495b883f281b4ca5dcb32ec96,996.27747871,USDT,0xfb5f7ad6c1be0aeb04d5a531b3b0c26d2f97ce81ec50d3bc26fc9e5606b04b34,21
IN,0x16b9a82891338f9ba80e2d6970fdda79d1eb0dae,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,996.27747871,USDT,0x3edb9f4a197f08aa49411df0d15cd7b8a6acbbb7221d4e0ddc638e5192cdac2b,21
OUT,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,0xab0667de161274f495b883f281b4ca5dcb32ec96,391.15681127,USDT,0xd97f6310de91ac745cc0f863bb0da20a5c5908f5ae5dce0805bc27b759f33ecb,21
OUT,0xc297bb34de41ca8fb8a65890dd2a50f67bac70d1,0x799b837c09880ee6e336d49a3ea0a8d3fd11bbc2,1500.0,USDT,0xa3108e9aaed148dde2bd0abcd7a3089c9bec873a734afa9419726d0899784186,22
