序号,名称1,名称2,价格,24h,7d,官网,所属链,合约,推特,更新时间
1,KFA,Crypto KFA,$0.31901025,118.40%,148.30%,https://www.kfacoin.com/,,,,2022-09-01 15
2,THE,Thesar,$0.01183611,94.96%,8.83%,https://thesar.io/,BSC,0xB7Fa7b18F1D24623043F59131a921254558Dd2Ae,,2022-09-01 15
3,WOM,Wombat Token,$1.1368,71.08%,57.97%,https://www.wombat.exchange/,BSC,0xad6742a35fb341a9cc6ad674738dd8da98b94fb1,https://twitter.com/WombatExchange,2022-09-01 15
4,STG3S,STG 三倍做空,$3.015,44.28%,179.34%,,,,,2022-09-01 15
5,BION,BION,$1.936,40.20%,-98.74%,http://bion.company/,BSC,0x37a560f3f23cbe35b34d97d37bd8a171fb7a906f,,2022-09-01 15
6,XEC3L,XEC三倍做多,$0.98600078,20.54%,13.59%,,,,,2022-09-01 15
7,T4S,T 四倍做空,$1.4902,18.37%,45.32%,,,,,2022-09-01 15
8,CLOAK,CLOAK,$0.01420001,18.33%,- -,https://milotoken.io/#/,BSC,0x8077398Ff2c530f129a6dd8D7F1E8840312440CD,,2022-09-01 15
9,PSTAKE4L,PSTAKE 四倍做多,$0.58254386,17.28%,-30.27%,,,,,2022-09-01 15
10,MTRM,Materium,$0.12120010,16.54%,- -,https://mirandus.game/,Ethereum,0xcd17fA52528f37FACB3028688E62ec82d9417581,https://twitter.com/Hiblocks,2022-09-01 15
