序号,币种,最新价格,24h涨幅,流通量,开盘价,风险性,合约,所属链,推特,其它链接,更新时间
1,FDT,0.865,-2.19%,"210,000,000",0.00616,55,0x036f3821b947970127782897ee687354d19f6371,bsc,,,2022-09-01 09
2,SUN,24.241,-1.47%,"7,800",1.961,40,0x55a3c4358a3465759e9e93a857b14027569278d0,bsc,,,2022-09-01 09
3,$MUU,0.0{5}121,+1.72%,1T,0.0{14}378,55,0x2900e6b68658128784b9a1de242f811d938d8ba7,bsc,,,2022-09-01 09
4,NFD,0.0145,-5.92%,9.966B,0.0{6}107,55,0x38c63a5d3f206314107a7a9fe8cbba29d629d4f9,bsc,,,2022-09-01 09
5,CS,14.418,+0.9%,"2,095,616.707",4.67,55,0x71694c0d04bcdaaea775c236a0cf0c29da104536,bsc,,,2022-09-01 09
6,Taichi,76.271,-0.47%,"8,000",0.655,40,0xf99adfb621ece8977da9a748454f0c054ec980b1,bsc,https://twitter.com/Taichi38891545,https://s.denglianqiu.cn/taijiADOInternational,2022-09-01 09
7,ECB,0.0465,+19.56%,"99,755,410.461",0.0{5}298,40,0x7b2fdd8a40a9b8ea92b63673f6863128951f1026,bsc,,,2022-09-01 09
8,K3,0.00649,-0.87%,"21,000,000",0.0{5}109,55,0xe82434df35f61c18a9204531edc594ef2f66beb2,bsc,,,2022-09-01 09
9,SHJ,108.984,+11.66%,"47,665.614",44.28,55,0x829e7183f68ac30526d27bb70ec8de51dccd6161,bsc,,,2022-09-01 09
10,HMC,0.244,-0.1%,"90,991,802.123",0.213,55,0xdfb78ae59a41a4a44c9bb07fe7fd46b2c88fd84f,bsc,,,2022-09-01 09
