序号,币种,最新价格,24h涨幅,流通量,开盘价,风险性,合约,所属链,推特,电报,其它链接,更新时间
1,BBC,411.162,+77.64%,"10,000",13.808,40,0x767b04d1f1dde2a056cec1ab3bd51d1c286366db,bsc,,,,2022-09-01 15
2,ZT,6.909,+63.81%,"533,200",2.49,40,0x526fcd7a4cc150a6feaf24f8469d531be881f80f,bsc,,,,2022-09-01 15
3,SHJ,156.236,+60.07%,"47,498.561",44.28,55,0x829e7183f68ac30526d27bb70ec8de51dccd6161,bsc,,,,2022-09-01 15
4,ECB,0.0621,+59.58%,"99,742,963.015",0.0{5}298,40,0x7b2fdd8a40a9b8ea92b63673f6863128951f1026,bsc,,,,2022-09-01 15
5,O5O,1.096,+52.24%,"611,040",1.653,20,0xd79ac202089bd317c8b8aa3621caf5c1cf6c6ba6,bsc,,,,2022-09-01 15
6,WOM,1.15,+28.63%,1B,1.163,55,0xad6742a35fb341a9cc6ad674738dd8da98b94fb1,bsc,https://twitter.com/WombatExchange,https://t.me/WombatExchange,https://discord.com/invite/Wombat,2022-09-01 15
7,NRB,26.603,+28.43%,"18,665.836",1.182,40,0x7802d15c5f94e5904d2c5706284e6bec398ee03c,bsc,https://mobile.twitter.com/Btcsir1?s=09,https://t.me/labtc,,2022-09-01 15
8,99,12.795,+24.28%,"81,658.9",0.528,55,0x93afbc2da334b312dd09630109dd2f4209556f35,bsc,,,,2022-09-01 15
9,9CC1,0.000427,+20.75%,2.968B,0.0{9}608,55,0xab86ba54d008e8e6d4747c82355cbbb90ead1ed0,bsc,https://twitter.com/9CC1ECO,https://t.me/coin9CC1_CN,,2022-09-01 15
10,SUN,28.804,+17.08%,"7,800",1.961,40,0x55a3c4358a3465759e9e93a857b14027569278d0,bsc,,,,2022-09-01 15
