序号,名称1,名称2,价格,24h,7d,更新时间
1,KFA,Crypto KFA,$0.32350038,102.17%,151.79%,2022-09-02 09
2,NUGEN,NUGEN COIN,$0.42190049,85.70%,-43.75%,2022-09-02 09
3,MTRM,Materium,$0.12410014,55.13%,- -,2022-09-02 09
4,STG3L,STG 三倍做多,$0.16622019,41.54%,-81.68%,2022-09-02 09
5,LINU,Luna Inu,$0.0{8}22190,30.53%,2.68%,2022-09-02 09
6,NUTSPAY,Nuts Pay Token,$0.00084430,29.85%,591.48%,2022-09-02 09
7,DC3L,DC 三倍做多,$5.575,23.53%,240.98%,2022-09-02 09
8,DC,Dogechain,$0.00344479,22.94%,761.20%,2022-09-02 09
9,UNIP,UNIPAY Token,$13.4264,19.56%,-87.66%,2022-09-02 09
10,PORTO3L,PORTO 三倍做多,$1.209,16.81%,- -,2022-09-02 09
