,合约,名称,数量,种类
0,0x9B1188e01B45a283CdE53888ED1558FB6f9ae692,FFF,1641201.05,USDT
1,0xbFf4803477faae11fe983f58d74Df3fdeD093442,SUPER,244545.25,USDT
2,0x56452853F393eB04a77189991940C73658020b88,COW,236055.24,USDT
3,0xab86ba54d008e8e6d4747c82355cBBb90Ead1Ed0,9CC1,144605.35,USDT
4,0x5Aae8d47172AFb0d0174159cd103229957E5d38f,Peace DAO,78906.7,USDT
5,0x141127b397594c542ee64a75135d652094e83f20,Hayya,74776.84,USDT
6,0xAC9394E70855B3A862656260cb3D9FB1aDd2dDCb,MAPE,72390.97,USDT
7,0x32E25acEbECD68188D4EEF7b5c5AE57A5072DAf8,PLT,6110.77,USDT
8,0xb0c540f2f49d7066a88eeaa466ba14c5dd482673,SuperSoca,2191.05,USDT
9,0x5Ba2290ca4C324168d7E2401D82567A9e1e1D435,PMM,182.05,USDT
10,0x6e0c46Ec78525c4b238929265DfB61769823Fb20,MINE,75.91,WBNB
11,0xc233d2b1d7077b367a400b86e32c721e2f3dbba8,沈腾币,31.72,WBNB
12,0xeF120b1a8cf612CB76C6876Ce10A1454115ff480,ChinaGrow,24.26,WBNB
13,0x8Dcff5Ba47aa24CFEb73A2262b7cD6D18739600c,J9BC,2.32,WBNB
