序号,名称,价格,24h涨幅,合约,所属链,推特,电报,更新时间
1,BCat,0.0{17}45,+30.29%,0x3a310e6eaf960f9ea208764e9d299ea62a0ea53d,bsc,https://twitter.com/BeerusCatToken,https://t.me/BeerusCat,2022-09-02 09
2,ROC,0.0018,+16.5%,0xaa8f550ed21ae4ece978f4141c4551d1deb7390a,bsc,https://twitter.com/rocketr_dao,https://t.me/RocketRaccoonChat,2022-09-02 09
3,PITI,0.0{11}418,+14.88%,0xbff96267c5a60aa61763dd7159da14d6df6da371,bsc,,,2022-09-02 09
4,JTS,0.696,+13.78%,0xf4f3e45507c85e36ee23e421feb7caca4b7f0f8b,bsc,,,2022-09-02 09
5,SAS,0.0148,+13.04%,0x5df47c286d5b66826bcf9dfd8234f94850a66a6a,bsc,,,2022-09-02 09
6,BBC,467.368,+8.71%,0x767b04d1f1dde2a056cec1ab3bd51d1c286366db,bsc,,,2022-09-02 09
7,ETI,57.603,+5.56%,0xe943616228239e078dc4436150602e0426e684ad,bsc,https://twitter.com/TaoTeChing_TTC?t=saOuK4yze6qQhv-cnIw1dw&s=09,https://t.me/TTCLaoTzu,2022-09-02 09
8,COPC,32.467,+5.01%,0xc2931e66c361f22f2a3a331a8708d7be383c3cac,bsc,,,2022-09-02 09
9,DHF,2.474,+3.96%,0xdd8dc73acdfa9e7ac15a7a6c023511bcb1db5a4d,bsc,,,2022-09-02 09
10,Tomatos,0.127,+2.68%,0x87d8e64515a7d058fa15c32c938f7379db926306,bsc,https://twitter.com/TomatosToken,https://t.me/TomatosToken,2022-09-02 09
